"The Prize Winner of Defiance, Ohio","2005","27176"
"Doom","2005","8814"
"Dreamer","2005","12920"
"Kids in America","2005","21246"
"Kiss Kiss Bang Bang","2005","5236"
"North Country","2005","9701"
"Stay","2005","8066"
"The Legend of Zorro","2005","1656"
"Prime","2005","2313"
"Saw II","2005","215"
"The Weather Man","2005","6963"
"Chicken Little","2005","9982"
"Good Night, and Good Luck","2005","3291"
"Jarhead","2005","25"
"Shopgirl","2005","2610"
"Get Rich or Die Tryin'","2005","10060"
"Derailed","2005","8999"
"Zathura","2005","6795"
"Harry Potter and the Goblet of Fire","2005","674"
"Walk the Line","2005","69"
"Bee Season","2005","24618"
"The Ice Harvest","2005","9005"
"In the Mix","2005","17952"
"Just Friends","2005","10033"
"Pride & Prejudice","2005","4348"
"Rent","2005","1833"
"Yours, Mine and Ours","2005","13499"
"Æon Flux","2005","8202"
"Brokeback Mountain","2005","142"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005","411"
"Syriana","2005","231"
"King Kong","2005","254"
"The Family Stone","2005","9043"
"Cheaper by the Dozen 2","2005","9641"
"Fun with Dick and Jane","2005","7552"
"Memoirs of a Geisha","2005","1904"
"Munich","2005","612"
"The Ringer","2005","9927"
"Transamerica","2005","546"
"Casanova","2005","9681"
"The New World","2005","11400"
"The Producers","2005","9899"
"Rumor Has It","2005","2800"
"Wolf Creek","2005","9885"
"BloodRayne","2006","168705"
"Grandma's Boy","2006","9900"
"Hostel","2006","1690"
"Glory Road","2006","9918"
"Hoodwinked!","2006","10982"
"Last Holiday","2006","17379"
"Tristan and Isolde","2006","9044"
"Underworld: Evolution","2006","834"
"Wristcutters: A Love Story","2006","13198"
"Annapolis","2006","13275"
"Big Momma's House 2","2006","11565"
"Nanny McPhee","2006","11283"
"Something New","2006","15363"
"When a Stranger Calls","2006","10053"
"Curious George","2006","9975"
"Final Destination 3","2006","9286"
"Firewall","2006","9754"
"The Pink Panther","2006","12096"
"Date Movie","2006","10073"
"Eight Below","2006","9036"
"Freedomland","2006","9959"
"Doogal","2006","24432"
"Madea's Family Reunion","2006","16781"
"Running Scared","2006","7304"
"16 Blocks","2006","2207"
"Aquamarine","2006","14191"
"Dave Chappelle's Block Party","2006","292"
"Ultraviolet","2006","9920"
"Failure to Launch","2006","6877"
"The Hills Have Eyes","2006","9792"
"The Shaggy Dog","2006","10067"
"She's the Man","2006","9655"
"Thank You for Smoking","2006","9388"
"V for Vendetta","2006","752"
"Inside Man","2006","388"
"Larry the Cable Guy: Health Inspector","2006","15639"
"The Secret","2006","26594"
"Stay Alive","2006","10069"
"Unidentified","2006","37505"
"ATL","2006","13960"
"Basic Instinct 2","2006","3093"
"Ice Age: The Meltdown","2006","950"
"Slither","2006","9035"
"The Benchwarmers","2006","9957"
"Friends with Money","2006","8998"
"Lucky Number Slevin","2006","186"
"Phat Girlz","2006","30139"
"Take the Lead","2006","12763"
"Scary Movie 4","2006","4257"
"The Wild","2006","9904"
"American Dreamz","2006","9310"
"The Sentinel","2006","5820"
"Silent Hill","2006","588"
"Akeelah and the Bee","2006","13751"
"Alien Autopsy","2006","9773"
"RV","2006","9530"
"Stick It","2006","10115"
"United 93","2006","9829"
"An American Haunting","2006","10008"
"Art School Confidential","2006","9786"
"Hoot","2006","18276"
"Mission: Impossible III","2006","956"
"Goal!","2006","9763"
"Just My Luck","2006","10025"
"Poseidon","2006","503"
"The Da Vinci Code","2006","591"
"Over the Hedge","2006","7518"
"See No Evil","2006","10007"
"X-Men: The Last Stand","2006","36668"
"The Break-Up","2006","9767"
"The Omen","2006","806"
"Cars","2006","920"
"A Prairie Home Companion","2006","9526"
"The Fast and the Furious: Tokyo Drift","2006","9615"
"Garfield: A Tail of Two Kitties","2006","9513"
"The Lake House","2006","2044"
"Nacho Libre","2006","9353"
"Click","2006","9339"
"Waist Deep","2006","9917"
"Superman Returns","2006","1452"
"The Devil Wears Prada","2006","350"
"Pirates of the Caribbean: Dead Man's Chest","2006","58"
"Little Man","2006","9072"
"You, Me and Dupree","2006","1819"
"The Girl Who Leapt Through Time","2006","14069"
"Clerks II","2006","2295"
"Lady in the Water","2006","9697"
"Monster House","2006","9297"
"My Super Ex-Girlfriend","2006","4474"
"Little Miss Sunshine","2006","773"
"The Ant Bully","2006","9906"
"John Tucker Must Die","2006","9293"
"Miami Vice","2006","82"
"Scoop","2006","512"
"Barnyard","2006","9907"
"The Descent","2006","9392"
"The Night Listener","2006","9782"
"Talladega Nights: The Ballad of Ricky Bobby","2006","9718"
"World Trade Center","2006","1852"
"Pulse","2006","9682"
"Step Up","2006","9762"
"Zoom","2006","14113"
"Accepted","2006","9788"
"The Illusionist","2006","1491"
"Kenny","2006","13140"
"Material Girls","2006","10118"
"Snakes on a Plane","2006","326"
"Beerfest","2006","9988"
"How to Eat Fried Worms","2006","24115"
"Idlewild","2006","13816"
"Invincible","2006","11652"
"Crank","2006","1948"
"Crossover","2006","14351"
"Idiocracy","2006","7512"
"The Wicker Man","2006","9708"
"The Black Dahlia","2006","9676"
"The Covenant","2006","9954"
"Tom-Yum-Goong","2006","8982"
"Everyone's Hero","2006","15213"
"Gridiron Gang","2006","9766"
"The Last Kiss","2006","7511"
"Ultraman Mebius & Ultraman Brothers","2006","118717"
"All the King's Men","2006","1717"
"Fearless","2006","7549"
"Flyboys","2006","9664"
"Jackass Number Two","2006","12094"
"Facing the Giants","2006","18925"
"The Guardian","2006","4643"
"Open Season","2006","7484"
"School for Scoundrels","2006","9842"
"The Queen","2006","1165"
"The Departed","2006","1422"
"Employee of the Month","2006","9794"
"The Texas Chainsaw Massacre: The Beginning","2006","10781"
"Trailer Park Boys: The Movie","2006","9958"
"The Grudge 2","2006","1975"
"Man of the Year","2006","9895"
"The Marine","2006","8975"
"One Night with the King","2006","15005"
"Flags of Our Fathers","2006","3683"
"Flicka","2006","14012"
"Marie Antoinette","2006","1887"
"The Prestige","2006","1124"
"Babel","2006","1164"
"Catch a Fire","2006","1123"
"Dirty Sanchez: the Movie","2006","14891"
"Running with Scissors","2006","7510"
"Saw III","2006","214"
"Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","2006","496"
"Flushed Away","2006","11619"
"The Santa Clause 3: The Escape Clause","2006","13767"
"Volver","2006","219"
"Breaking and Entering","2006","1253"
"A Good Year","2006","9726"
"Harsh Times","2006","7873"
"The Return","2006","10093"
"Stranger Than Fiction","2006","1262"
"Bobby","2006","10741"
"Casino Royale","2006","36557"
"For Your Consideration","2006","14799"
"Happy Feet","2006","9836"
"Let's Go to Prison","2006","9809"
"Griffin & Phoenix","2006","15534"
"Deck the Halls","2006","9969"
"Déjà Vu","2006","7551"
"The Fountain","2006","1381"
"Tenacious D in The Pick of Destiny","2006","2179"
"The Nativity Story","2006","2447"
"Turistas","2006","9796"
"Van Wilder: The Rise of Taj","2006","10032"
"Miss Potter","2006","13967"
"Apocalypto","2006","1579"
"Blood Diamond","2006","1372"
"The Holiday","2006","1581"
"Unaccompanied Minors","2006","18147"
"Charlotte's Web","2006","9986"
